timestamp;from;to;memo
2021-11-03T12:20:18.000;apostolseeds;juliomonteir;for organizing the RE space with me 🌱
2021-11-03T12:20:07.500;apostolseeds;raviresck123;for keeping it real 🖖
2021-11-03T12:19:57.000;apostolseeds;minosdoros55;for the awesome RE facilitation and lots of other things!
2021-11-03T12:19:42.500;apostolseeds;milaecdap141;for the amazing energy you bring into RE!
2021-11-03T12:19:29.500;apostolseeds;ombombadi11o;for your being!
2021-11-03T11:51:33.000;thealchemist;dayagardunha;for supporting in this epic pilot!
2021-11-03T11:49:24.500;thealchemist;hippocampus1;for feedback on the economic graphic
2021-11-03T11:49:12.000;thealchemist;lesgavatxes1;for feedback on the economic graphic
2021-11-03T11:49:00.000;thealchemist;georgeashish;for the new server Icon GIF!
2021-11-03T11:48:45.500;thealchemist;felipenseeds;for the heart, compassion and love I'm routinely seeing flow through your words, thank you!
2021-11-03T11:48:32.000;thealchemist;kiranbhealth;for the gounded, compassionate and thoughful wisdom
2021-11-03T11:48:19.500;thealchemist;dbeverywhere;for the Hypha article feedback.
2021-11-03T11:47:48.000;thealchemist;neiltakemoto;the regular and consistent waterfall of inspiration and deep wisdom!
2021-11-03T11:47:34.500;thealchemist;georgeashish;for boosting the seeds server!!!
2021-11-03T11:47:21.500;thealchemist;gradinagruiu;for the constant rockstar attitude and dedication!
2021-11-03T11:47:06.000;thealchemist;minosdoros55;for holding the space for continued progress on SEEDS Governance
2021-11-03T11:46:53.000;thealchemist;minosdoros55;for holding the space for continued progress on SEEDS Governance
2021-11-03T11:46:39.000;thealchemist;luigicarlini;for being an total rockstar and getting the seeds dashboard up!
2021-11-03T11:46:27.000;thealchemist;f4b1vuk1seed;for Stewarding the proposals with nursery call this week
2021-11-03T09:40:23.000;nomik22kimon;anahealingwo;the infectious energy you brought to our call just now
2021-11-03T09:40:05.500;nomik22kimon;minosdoros55;the infectious joy you brought to our call just now
2021-11-02T21:49:17.000;freedomcell1;paulcarvalho;for collecting an amazing harvest in todays RE outer session
2021-11-02T21:47:52.500;freedomcell1;milaecdap141;for creating and holding Spice for a beautiful RE session
2021-11-02T18:13:51.500;gradinagruiu;luigicarlini;being so awesome!
2021-11-02T17:57:10.000;parfaitmugis;andytheseeds;for his implication to strengthen our movement in Burundi
2021-11-02T07:15:54.000;aliciaved111;nalunation21;her diligence and loving concern for everyone and the field in organizing ceremonies ✨
2021-11-02T04:19:06.000;nalunation21;aliciaved111;for your gentle and kind wisdom. I deeply appreciate journeying with you sister 💞
2021-11-01T21:56:10.500;syoyfssqi434;paulcarvalho;for his map making (I haven't forgotten!)
2021-11-01T21:55:50.500;syoyfssqi434;gradinagruiu;for some timely vouches
2021-11-01T21:55:14.000;syoyfssqi434;omosomcp1222;for helping me get towards citizenship
